Year,Industry,Gas Type,Gas Name,Emissions,,,,,
1993,Education,CO2,Carbon Dioxide,"5,000.6",,,,,
1993,Human health and social work activities,CO2,Carbon Dioxide,"5,541.1",,,,,
1993,"Arts, entertainment and recreation",CO2,Carbon Dioxide,"1,579.8",,,,,
1993,Other service activities,CO2,Carbon Dioxide,"1,203.6",,,,,
1993,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,CO2,Carbon Dioxide,46.3,,,,,
1993,Consumer expenditure,CO2,Carbon Dioxide,"149,530.1",,,,,
1994,"Agriculture, forestry and fishing",CO2,Carbon Dioxide,"8,581.2",,,,,
1994,Mining and quarrying,CO2,Carbon Dioxide,"27,453.3",,,,,
1994,Manufacturing,CO2,Carbon Dioxide,"136,703.8",,,,,
1994,"Electricity, gas, steam and air conditioning supply",CO2,Carbon Dioxide,"169,365.3",,,,,
1994,"Water supply; sewerage, waste management and remediation activities",CO2,Carbon Dioxide,"4,494.6",,,,,
1994,Construction,CO2,Carbon Dioxide,"9,899.8",,,,,
1994,Wholesale and retail trade; repair of motor vehicles and motorcycles,CO2,Carbon Dioxide,"12,352.5",,,,,
1994,Transport and storage,CO2,Carbon Dioxide,"68,860.9",,,,,
1994,Accommodation and food services,CO2,Carbon Dioxide,"3,293.3",,,,,
1994,Information and communication,CO2,Carbon Dioxide,"1,217.9",,,,,
1994,Financial and insurance activities,CO2,Carbon Dioxide,349.3,,,,,
1994,Real estate activities,CO2,Carbon Dioxide,736.1,,,,,
1994,"Professional, scientific and technical activities",CO2,Carbon Dioxide,"2,518.9",,,,,
1994,Administrative and support service activities,CO2,Carbon Dioxide,"2,919.7",,,,,
1994,Public administration and defence; compulsory social security,CO2,Carbon Dioxide,"9,726.6",,,,,
1994,Education,CO2,Carbon Dioxide,"4,477.3",,,,,
1994,Human health and social work activities,CO2,Carbon Dioxide,"5,614.5",,,,,
1994,"Arts, entertainment and recreation",CO2,Carbon Dioxide,"1,543.4",,,,,
1994,Other service activities,CO2,Carbon Dioxide,"1,203.6",,,,,
1994,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,CO2,Carbon Dioxide,48.7,,,,,
1994,Consumer expenditure,CO2,Carbon Dioxide,"144,480.7",,,,,
1995,"Agriculture, forestry and fishing",CO2,Carbon Dioxide,"8,588.9",,,,,
1995,Mining and quarrying,CO2,Carbon Dioxide,"27,747.0",,,,,
1995,Manufacturing,CO2,Carbon Dioxide,"135,329.4",,,,,
1995,"Electricity, gas, steam and air conditioning supply",CO2,Carbon Dioxide,"166,962.1",,,,,
1995,"Water supply; sewerage, waste management and remediation activities",CO2,Carbon Dioxide,"4,341.8",,,,,
1995,Construction,CO2,Carbon Dioxide,"10,005.4",,,,,
1995,Wholesale and retail trade; repair of motor vehicles and motorcycles,CO2,Carbon Dioxide,"12,481.9",,,,,
1995,Transport and storage,CO2,Carbon Dioxide,"71,673.5",,,,,
1995,Accommodation and food services,CO2,Carbon Dioxide,"3,392.2",,,,,
