Date,Automotive fuel,Entertainment,Food and drink,"Pubs, restaurants and fast food",Retail,Travel and   accommodation
2/9/2022,112,69,109,80,133,108
2/10/2022,113,68,109,81,133,109
2/11/2022,115,67,110,82,133,110
2/12/2022,118,71,111,83,133,111
2/13/2022,119,76,111,85,133,113
2/14/2022,120,79,114,90,133,111
2/15/2022,121,81,114,92,134,110
2/16/2022,121,82,115,94,133,110
2/17/2022,123,83,115,96,133,110
2/18/2022,121,83,114,96,132,111
2/19/2022,122,80,114,95,131,115
2/20/2022,123,77,113,94,130,115
2/21/2022,123,75,110,90,129,115
2/22/2022,123,74,110,88,129,116
2/23/2022,123,73,110,87,129,115
2/24/2022,125,73,109,86,132,116
2/25/2022,129,73,110,87,136,114
2/26/2022,129,72,110,89,138,110
2/27/2022,129,71,111,90,140,107
2/28/2022,130,72,111,90,146,108
3/1/2022,131,73,112,90,150,107
3/2/2022,132,75,113,89,151,107
3/3/2022,130,76,114,89,150,105
3/4/2022,128,77,114,89,150,104
3/5/2022,127,79,114,89,150,104
3/6/2022,127,81,115,89,149,104
3/7/2022,128,81,114,89,146,104
3/8/2022,128,80,114,90,142,102
3/9/2022,130,78,114,90,141,102
3/10/2022,130,78,113,91,140,102
3/11/2022,130,79,113,91,137,102
3/12/2022,130,77,113,91,137,101
3/13/2022,129,76,113,91,136,101
3/14/2022,129,76,113,91,134,100
3/15/2022,128,76,112,91,133,100
3/16/2022,125,77,112,91,132,101
3/17/2022,125,78,112,93,132,101
3/18/2022,124,77,113,95,131,101
3/19/2022,125,77,112,96,131,101
3/20/2022,126,78,112,96,131,101
3/21/2022,125,78,112,96,131,101
3/22/2022,125,77,112,97,132,103
3/23/2022,126,79,113,97,132,103
3/24/2022,127,78,113,95,134,104
3/25/2022,128,78,113,95,138,105
3/26/2022,130,79,115,95,140,105
3/27/2022,130,78,116,96,142,106
3/28/2022,132,78,116,97,146,109
3/29/2022,132,79,117,97,149,110
3/30/2022,133,77,117,97,153,112
3/31/2022,134,77,117,97,158,114
4/1/2022,135,79,117,98,159,117
4/2/2022,136,79,117,98,161,119
4/3/2022,136,81,118,98,163,122
4/4/2022,137,83,118,98,167,123
4/5/2022,138,85,119,100,170,124
4/6/2022,138,86,120,101,170,125
4/7/2022,139,87,120,102,167,125
4/8/2022,140,86,120,103,164,124
4/9/2022,141,87,120,104,162,124
4/10/2022,142,87,120,105,160,124
4/11/2022,143,86,120,106,155,123
4/12/2022,144,86,120,107,151,124
4/13/2022,146,87,122,108,151,124
4/14/2022,149,87,126,111,151,125
4/15/2022,150,87,128,113,149,126
4/16/2022,149,85,129,113,146,124
4/17/2022,148,83,124,114,142,122
4/18/2022,151,82,123,116,136,121
4/19/2022,152,80,124,115,137,119
4/20/2022,152,79,122,113,136,118
4/21/2022,149,77,118,109,134,115
4/22/2022,147,74,116,104,137,113
4/23/2022,145,72,114,102,138,111
4/24/2022,145,70,117,98,141,110
4/25/2022,141,69,116,93,145,109
4/26/2022,139,67,115,92,146,109
4/27/2022,138,65,114,91,148,110
4/28/2022,137,65,114,90,151,111
4/29/2022,139,66,114,92,154,113
4/30/2022,140,68,115,95,158,117
5/1/2022,141,71,117,100,160,119
5/2/2022,143,74,118,105,158,119
5/3/2022,143,75,119,105,158,119
5/4/2022,143,76,120,106,156,118
5/5/2022,143,77,121,107,155,118
5/6/2022,142,77,120,107,152,117
5/7/2022,141,77,119,106,149,114
5/8/2022,141,74,119,103,147,112
5/9/2022,140,73,119,100,148,115
5/10/2022,139,72,119,100,147,117
5/11/2022,139,72,118,100,146,123
5/12/2022,139,71,118,100,145,128
5/13/2022,139,71,118,100,143,129
5/14/2022,139,69,118,100,142,131
5/15/2022,138,69,118,99,142,132
5/16/2022,139,69,118,99,140,129
5/17/2022,139,68,118,100,139,126
5/18/2022,140,68,118,101,138,119
5/19/2022,141,69,118,101,136,113
5/20/2022,141,68,118,101,137,111
5/21/2022,141,68,117,100,137,109
5/22/2022,141,68,118,101,137,108
5/23/2022,142,68,118,101,137,109
5/24/2022,142,71,117,101,137,110
5/25/2022,142,72,118,102,139,111
5/26/2022,143,73,118,102,140,113
5/27/2022,145,75,120,104,143,116
5/28/2022,148,78,121,105,145,118
5/29/2022,150,80,121,106,146,120
5/30/2022,152,83,123,109,150,122
5/31/2022,155,85,125,113,155,125
6/1/2022,160,90,129,118,158,129
6/2/2022,165,95,134,126,159,132
6/3/2022,165,98,134,131,155,131
6/4/2022,167,100,133,132,153,132
6/5/2022,169,99,133,133,152,133
6/6/2022,170,97,132,132,148,132
6/7/2022,169,95,131,130,143,131
6/8/2022,166,91,127,125,139,128
6/9/2022,162,87,123,118,138,125
6/10/2022,161,83,122,113,139,124
6/11/2022,160,82,122,111,140,123
6/12/2022,158,82,123,110,140,123
6/13/2022,157,81,123,109,141,125
6/14/2022,156,82,123,109,140,126
6/15/2022,157,81,123,109,140,127
6/16/2022,157,81,123,109,139,128
6/17/2022,158,80,124,108,139,127
6/18/2022,158,79,124,107,140,128
6/19/2022,159,78,124,107,140,127
6/20/2022,160,78,124,107,139,125
6/21/2022,161,75,124,107,138,123
6/22/2022,161,74,124,107,137,120
6/23/2022,162,73,123,106,137,119
6/24/2022,163,72,122,106,138,119
6/25/2022,164,72,122,106,139,117
6/26/2022,165,73,122,107,140,116
6/27/2022,165,74,122,107,142,115
6/28/2022,165,75,122,108,146,115
6/29/2022,166,77,122,108,148,117
6/30/2022,167,79,123,110,153,119
7/1/2022,168,81,124,110,154,119
7/2/2022,169,83,125,111,155,121
7/3/2022,170,84,126,111,155,122
7/4/2022,171,85,127,112,155,123
7/5/2022,172,89,128,113,155,123
7/6/2022,171,89,129,114,157,125
7/7/2022,171,90,129,115,156,124
7/8/2022,171,89,130,115,155,124
7/9/2022,172,89,130,115,152,124
7/10/2022,173,88,131,116,150,123
7/11/2022,174,88,132,117,149,124
7/12/2022,174,85,132,118,149,123
7/13/2022,176,85,133,118,146,122
7/14/2022,176,85,133,119,143,123
7/15/2022,177,85,133,119,143,123
7/16/2022,179,84,133,119,144,123
7/17/2022,181,84,133,119,144,124
7/18/2022,182,84,134,119,144,124
7/19/2022,184,83,135,119,142,124
7/20/2022,186,84,135,119,141,124
7/21/2022,189,85,135,119,142,124
7/22/2022,191,85,134,119,142,124
7/23/2022,193,85,134,119,143,124
7/24/2022,195,86,134,119,144,125
