code,label,cx,cy
E05000845,Atherton,-2.485052925237261,53.52829829084619
E05000846,Bryn,-2.6530201757105343,53.50235661009943
E05000847,Douglas,-2.654517401958004,53.54242378267594
E05000848,Golborne and Lowton West,-2.590476881913479,53.4808305132466
E05000849,Hindley,-2.576305539541015,53.53551228149295
E05000850,Hindley Green,-2.5509368460988138,53.52377251212233
E05000851,Ince,-2.6075896473863454,53.5435173581337
E05000852,Leigh East,-2.494994982468308,53.50045634082122
E05000853,Leigh South,-2.5117087662451945,53.48540383549349
E05000854,Leigh West,-2.5436684907146896,53.50290800486899
E05000855,Lowton East,-2.5610750772103947,53.472491080425556
E05000856,Orrell,-2.7048359057959015,53.52467928431145
E05000857,Pemberton,-2.683531174896064,53.545629472065606
E05000858,Shevington with Lower Ground,-2.6919458580445483,53.57355857845438
E05000859,Standish with Langtree,-2.6645144802528753,53.585980468658875
E05000860,Tyldesley,-2.460757112935466,53.51557217661335
E05000861,Wigan Central,-2.629862051031638,53.55585410446604
E05000862,Wigan West,-2.651628125180039,53.55796996439559
E05000863,Winstanley,-2.675195111060609,53.52050004944911
E05000864,Worsley Mesnes,-2.639894724184964,53.527373403019105
E05000886,Allerton and Hunts Cross,-2.8728533831790446,53.36516914411496
E05000887,Anfield,-2.954735125277278,53.43152396669198
E05000888,Belle Vale,-2.851404500747566,53.39109566573726
E05000889,Central,-2.976367544275625,53.40719098996567
E05000890,Childwall,-2.893999076646922,53.39951314737031
E05000891,Church,-2.902526071268524,53.38167423778839
E05000892,Clubmoor,-2.934869692713538,53.4399623828431
E05000893,County,-2.960752763386674,53.44414775115669
E05000894,Cressington,-2.9056449527467145,53.36067124389724
E05000895,Croxteth,-2.8927322917791947,53.450609677811386
E05000896,Everton,-2.9664911789882877,53.42097069599283
E05000897,Fazakerley,-2.931169191960171,53.46433305101143
E05000898,Greenbank,-2.93066459703617,53.38742367964921
E05000899,Kensington and Fairfield,-2.9444051665305953,53.414076638615
E05000900,Kirkdale,-2.989483356786999,53.428292613040995
E05000901,Knotty Ash,-2.8924996452114735,53.41726734154831
E05000902,Mossley Hill,-2.925532659925938,53.36938721756981
E05000903,Norris Green,-2.921961718387462,53.4470955333909
E05000904,Old Swan,-2.9177314724087187,53.41336248109841
E05000905,Picton,-2.939341286162571,53.402035997281516
E05000906,Princes Park,-2.959500350893906,53.391942396240196
E05000907,Riverside,-2.975678242624357,53.390768372844605
E05000908,St Michael's,-2.949031688178452,53.376941025818766
E05000909,Speke-Garston,-2.8618550414026216,53.342875049398764
E05000910,Tuebrook and Stoneycroft,-2.931372721714577,53.425678953511635
E05000911,Warbreck,-2.9571840514491825,53.45596587258325
E05000912,Wavertree,-2.9159967387470123,53.397205589388285
E05000913,West Derby,-2.904313710763677,53.43346977524841
E05000914,Woolton,-2.8741909313772984,53.383836875577344
E05000915,Yew Tree,-2.8780355123016634,53.431403552386456
E05000932,Ainsdale,-3.0499447879701904,53.59899982861798
E05000933,Birkdale,-3.0130202972184974,53.623328832408625
E05000934,Blundellsands,-3.0455343588676747,53.494468344556935
E05000935,Cambridge,-2.989937800126707,53.66754965926522
E05000936,Church,-3.0270126856797206,53.4718372469566
E05000937,Derby,-2.9817386117626334,53.452845788047966
E05000938,Duke's,-3.029320062842141,53.63227511817553
E05000939,Ford,-2.9976173661059824,53.478755033886465
E05000940,Harington,-3.0757675516344785,53.56417424367754
E05000941,Kew,-2.987830369794446,53.633707769872196
